Place,Venues,Repertory
"Ames, IA, USA","Iowa State University; C.Y. Stephens Auditorium, Iowa State Center; Cy Stephens, Iowa State University",Toccata; Concerto in F; The Time Before the Time After (After the Time Before); Treading; Cry; Congo Tango Palace; Archipelago; Blues Suite; Rainbow 'Round My Shoulder; Flowers; Suite Otis; Reflections in D; Streams; Butterfly; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Amherst, MA, USA","UMass., Fine Arts Center Concert Hall; Fine Arts Center Concert Hall, University of Massachusetts Amherst; Fine Arts Center Concert Hall, UMass Amherst; The Fine Arts Center, University of Massachusetts Amherst; Bowker Auditorium, University of Massachusetts Amherst; Concert Hall of Fine Arts Center, Herter Hall, University of Massachusetts at Amherst",Suspension; After Eden; The Road of the Phoebe Snow; Liberian Suite; Flowers; Archipelago; Memoria; Hobo Sapiens; Bad Blood; Hermit Songs; The Stack-Up; Mary Lou's Mass; Divining; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Later That Day; Pigs and Fishes; Streams; Myth; Tilt; Phases; Rainbow 'Round My Shoulder; Speeds; Les Noces; Butterfly; Revelations; The Lark Ascending; Night Creature
"Amsterdam, Netherlands",Rai Congress Center; Stadsschouwburg,Congo Tango Palace; The Road of the Phoebe Snow; Credo; Concerto in F; The Prodigal Prince; Bad Blood; The Stack-Up; The Black Belt; Journey; Suite Otis; Treading; Cry; Lament; Blues Suite; Reflections in D; Streams; Icarus; Caverna Magica; Toccata; Revelations; Metallics; Night Creature
"Anchorage, AK, USA","Evangeline Atwood Concert Hall, Alaska Center for the Performing Arts; West High Auditorium",Divining; Shards; Phases; Love Songs; Songs Without Words; Cry; Treading; Suite Otis; Blues Suite; Streams; Revelations; The Stack-Up; Night Creature
"Ann Arbor, MI, USA","Power Auditorium, University of Michigan; Hill Auditorium, University of Michigan; Power Center for the Performing Arts, University of Michigan",The Still Point; The River; Congo Tango Palace; Hidden Rites; Places; Gazelle; Flowers; Archipelago; Countdown; Memoria; Clear Songs After Rain; Hobo Sapiens; Kinetic Molpai; Mary Lou's Mass; Portrait of Billie; Journey; Love Songs; Suite Otis; Treading; Cry; How Long Have It Been; The Time Before the Time After (After the Time Before); Blues Suite; Reflections in D; Later That Day; Crossword; Streams; Myth; Choros; Blood Memories; Toccata; Nocturne; Tilt; Feast of Ashes; Carmina Burana; Phases; Rainbow 'Round My Shoulder; The Wedding; Masekela Langage; Butterfly; Revelations; The Lark Ascending; Night Creature
"Antananarivo, Malagasy Republic",Cinema SOA,
"Antwerp, Belgium",Koninklijke Vlaamse Opera; Queen Elizabeth Hall,Caverna Magica; Divining; Tilt; Concerto in F; Suite Otis; Cry; Treading; Revelations; Night Creature
"Arles, France",Theatre Antique,Facets; Love Songs; Suite Otis; Cry; Streams; Butterfly; Myth; Revelations; Night Creature
"Arnhem, Netherlands",Stadsschouwburg,Toccata; Journey; Lament; Congo Tango Palace; Reflections in D; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Asheville, NC, USA","Thomas Wolfe Auditorium, University of North Carolina Asheville",The Stack-Up; Blues Suite; Love Songs; Revelations
"Athens, Greece",Herod Attikus Theatre; Herod Atticus Odeon,The Still Point; The River; Fontessa and Friends; Spectrum; Concerto in F; Facets; Memoria; The Stack-Up; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Pigs and Fishes; Streams; Caverna Magica; Phases; Speeds; Butterfly; Revelations; Gazelle; Night Creature
"Athens, OH, USA","Memorial Auditorium, Ohio University",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations; The Beloved
"Atlanta, GA, USA","Davage Auditorium, Clark College; Spelman College; Atlanta Civic Center; Moorehouse University; Omni; Fox Theatre; Fox Theater",Light; Congo Tango Palace; After Eden; Inside; Hidden Rites; The Road of the Phoebe Snow; Fontessa and Friends; Cinco Latinos; Isba; Liberian Suite; Concerto in F; Gazelle; Spectrum; Facets; Flowers; Fever Swamp; Landscape; Memoria; Hobo Sapiens; Bad Blood; Three Black Kings; The Stack-Up; Pas de Duke; Divining; Survivors; Love Songs; Suite Otis; Treading; Cry; The Time Before the Time After (After the Time Before); Blues Suite; Reflections in D; Later That Day; Pigs and Fishes; Streams; The Magic of Katherine Dunham; Witness; The Mooche; Caverna Magica; Toccata; For 'Bird' - With Love; Feast of Ashes; Phases; Caravan; Rainbow 'Round My Shoulder; Speeds; Masekela Langage; Les Noces; Butterfly; Gillespiana; Fire Sermon; District Storyville; The Lark Ascending; Revelations; Night Creature
"Atlantic City, NJ, USA",Atlantic City High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Austin, TX, USA","Performing Arts Concert Hall, University of Texas at Austin; The Texas Union, University of Texas Austin; University of Texas at Austin; Municipal Auditorium",The Still Point; Suspension; After Eden; The Road of the Phoebe Snow; Fontessa and Friends; Concerto in F; Flowers; Fever Swamp; The Stack-Up; Divining; Love Songs; Treading; Cry; Streams; Tilt; Feast of Ashes; Phases; Rainbow 'Round My Shoulder; Masekela Langage; Revelations; Night Creature
"Avignon, France",Cour d' Honneur du Palais des Papes; Cour d'Honneur du Palais des Papes,Pas de Duke; Facets; Carmina Burana; Love Songs; Journey; Cry; Blues Suite; Rainbow 'Round My Shoulder; After Eden; The Lark Ascending; The Mooche; Hobo Sapiens; Streams; Revelations; Gazelle; Night Creature
"Baalbek, Lebanon",Court of the Temple of Bacchus,Cry; Blues Suite; Kinetic Molpai; Streams; Hidden Rites; Revelations; The Lark Ascending
"Bacolod City, Philippines","Auditorium, The University of Negros Occidental",Cinco Latinos; Been Here and Gone; Mountainway Chant; Revelations; The Beloved
"Baldwin City, KS, USA",Baker University,
"Baltimore, MD, USA","Shriver Auditorium, Johns Hopkins University; Coppin State College; Lyric Opera House; Dalsheimer Auditorium, Baltimore Hebrew Congregation; Lyric Theatre",Congo Tango Palace; Fontessa and Friends; Isba; Concerto in F; Memoria; Bad Blood; Vespers; The Stack-Up; Divining; Portrait of Billie; Survivors; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Caverna Magica; Toccata; Rainbow 'Round My Shoulder; Speeds; Revelations; The Lark Ascending; Night Creature
"Bangkok, Thailand",National Theater,Facets; Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations; Gazelle; Night Creature
"Banjaluka, Socialist Federal Republic of Yugoslavia",,Lament; Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Bari, Italy",Teatro Petruzelli,Suite Otis; Cry; Come and Get the Beauty of It Hot; Landscape; Revelations; The Stack-Up; Night Creature
"Basel, Switzerland",Basel Tanzt,Caverna Magica; Divining; Concerto in F; Cry; Treading; Bad Blood; Streams; Revelations; The Stack-Up; Night Creature
"Batavia, NY, USA",Batavia High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Baton Rouge, LA, USA","LSU Union theater, Louisiana State University; Louisiana State University",Feast of Ashes; Carmina Burana; Love Songs; Cry; Blues Suite; Streams; Revelations
"Beaverton, OR, USA",,Toccata; Journey; Blues Suite; Revelations; Icarus
"Bedford, NY, USA",Fox Lane High School,Toccata; Journey; Blues Suite; Revelations; Metallics
"Beijing, China",Beijing Exhibition Hall; Central Ballet,Concerto in F; Cry; Memoria; Revelations; Night Creature
"Beit Berl, Israel",,Toccata; Blues Suite; Reflections in D; The Prodigal Prince; Revelations
"Beja, Portugal",Teatro Pax Julia,Reflections in D; Toccata; The Road of the Phoebe Snow; Blues Suite
"Belgrade, Socialist Federal Republic of Yugoslavia",Atelje 212,Toccata; Congo Tango Palace; Reflections in D; Metallics; The Beloved
"Berkeley, CA, USA","Zellerbach Auditorium, University of California Berkeley; Wheeler Auditorium, University of California Berkeley; Zellerbach Auditorium, University of California at Berkeley; Zellerbach Auditorium, UC Berkeley",Blueshift; Missa Brevis; The Still Point; Concerto in F; Countdown; Landscape; Kinetic Molpai; Time Out of Mind; The Prodigal Prince; Choral Dances; Cry; Night Shade; The Mooche; Icarus; Toccata; Tilt; Feast of Ashes; Masekela Langage; Blood Burning Moon; Gazelle; District Storyville; Night Creature; Opus McShann; Poeme; The River; Congo Tango Palace; The Road of the Phoebe Snow; Flowers; Vespers; Quintet; The Stack-Up; Precipice; Survivors; Love Songs; Suite Otis; Later That Day; Panambi; Rainbow 'Round My Shoulder; Butterfly; Revelations; After Eden; Hidden Rites; Fever Swamp; Hobo Sapiens; Coverage II; Bad Blood; Divining; Research; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Crossword; Streams; Witness; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; The Lark Ascending; Caravan; Inside; Fontessa and Friends; Isba; From the Mountains of Taubalu; Facets; Liberian Suite; Ancestral Voices; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Tell It Like It Is; Blood Memories; According to Eve; Shards; Carmina Burana; Phases; Les Noces; Metallics
"Berlin, Germany",Deutsche Oper Berlin; Theater des Westens; Akademie der Kunst; Akademie der Künste,Missa Brevis; The Road of the Phoebe Snow; Kinetic Molpai; Hermit Songs; Vespers; The Stack-Up; Survivors; How Long Have It Been; Love Songs; Come and Get the Beauty of It Hot; Treading; Cry; Blues Suite; Streams; The Magic of Katherine Dunham; The Mooche; Caverna Magica; Toccata; Dance for Six; For 'Bird' - With Love; Carmina Burana; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature; Rooms
"Bern, Switzerland",Stadttheater Bern,Cry; The Stack-Up; Night Creature; Revelations
"Bethlehem, PA, USA",Broughal Junior High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Binghamton, NY, USA","Harpur College Theater, State University; Anderson Center for the Arts, State University of New York at Binghamton",The Magic of Katherine Dunham
"Birmingham, AL, USA",Birmingham Music Club,Cry; Feast of Ashes; Streams; Revelations
"Bloomington, IN, USA","Indiana University Auditorium; I.U. Auditorium, Indiana University; University Auditorium, Indiana University",Love Songs; Suite Otis; Flowers; Clear Songs After Rain; Memoria; Later That Day; Inside; Streams; Revelations; Night Creature; According to Eve; Mary Lou's Mass
"Bluefield, WV, USA","Ramsey Elementary School Auditorium, Bluefield State College",
"Bochum, Germany",,Toccata; Blues Suite; Hermit Songs; Revelations; The Road of the Phoebe Snow
"Bogotá, Colombia",Colonsubsidos Theater; Teatro Colon; Coliseo el Campin,The Still Point; Phases; The River; Cry; Treading; Memoria; Revelations; Night Creature
"Boone, NC, USA","Farthing Auditorium, Appalachian State University",The Stack-Up; Revelations; Blues Suite; Suite Otis
"Bordeaux, France",Palais des Sports,Caverna Magica; Divining; Suite Otis; Treading; Cry; Blues Suite; Revelations; The Stack-Up; Night Creature
"Boston, MA, USA","Wang Center for the Performing Arts; John Hancock Hall, Boston University; Boston University, Orpheum Theater; Music Hall; Boston University, John Hancock Hall; Metropolitan Center, Boston University; Public Gardens; John Hancock Hall; Colonial Theatre",Missa Brevis; The Still Point; To Jose Clemente Orozco; Places; Spectrum; Concerto in F; Fanga; Landscape; Kinetic Molpai; Time Out of Mind; The Prodigal Prince; Choral Dances; Cry; Night Shade; The Magic of Katherine Dunham; Myth; Anjour: Ruminations on Dudley; Icarus; Echoes in Blue; Toccata; Tilt; Feast of Ashes; Masekela Langage; Gazelle; Night Creature; Opus McShann; The River; Congo Tango Palace; The Road of the Phoebe Snow; Flowers; Archipelago; Nubian Lady; Vespers; The Stack-Up; Precipice; Mary Lou's Mass; Survivors; Journey; Love Songs; Suite Otis; Later That Day; Seven Journeys; Rainbow 'Round My Shoulder; Butterfly; Revelations; Sonnets; After Eden; Hidden Rites; Fever Swamp; Hobo Sapiens; Bad Blood; Divining; Research; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Roots of the Blues; Crossword; Streams; Witness; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; Collage; Fire Sermon; The Lark Ascending; Inside; Satyriade; Lullaby for a Jazz Baby; Fontessa and Friends; Isba; How to Walk an Elephant; Facets; Liberian Suite; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Pigs and Fishes; Tell It Like It Is; Choros; Blood Memories; Shards; Carmina Burana; Phases; Les Noces; Metallics
"Bratislava, Czechoslovak Socialist Republic",National Theater,Tilt; Myth; Love Songs; Suite Otis; The Time Before the Time After (After the Time Before); Streams; Revelations
"Bremen, Germany",,
"Bridgeport, CT, USA",Klein Memorial Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Brisbane, Australia",Lyric Theatre,Divining; Concerto in F; Suite Otis; Treading; Cry; Speeds; Memoria; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Brno, Czechoslovak Socialist Republic",Janáček Theater,Love Songs; The Time Before the Time After (After the Time Before); Suite Otis; Myth; Night Creature
"Brockport, NY, USA","Hartwell Auditorium, State University College",
"Brooklyn, NY, USA",New York City Community College; Bethany Methodist Church; Brooklyn Academy of Music,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations
"Brunswick, ME, USA","Bowdoin College; Gymnasium, St. Francis College",
"Brussels, Belgium","Opera House; Centre Culturel d'Uccle; Paleis Voor Schone Kunsten, Palais des Beaux-Arts",Caverna Magica; Carmina Burana; Love Songs; Cry; Blues Suite; The Mooche; Reflections in D; Bad Blood; Streams; Revelations; The Road of the Phoebe Snow; Night Creature
"Bucharest, Socialist Republic of Romania","Sala Palatului; Great Hall, Palace",Toccata; Dance for Six; Carmina Burana; Gazelle; Suite Otis; Cry; Love Songs; Blues Suite; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature
"Budapest, Hungary",Erkel Theater; Budai Parkszinpad,Missa Brevis; Tilt; Dance for Six; Carmina Burana; Love Songs; Suite Otis; Cry; Fanga; Flowers; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Kinetic Molpai; Streams; Revelations; Gazelle; Night Creature
"Buenos Aires, Argentina",Teatro Colon,The Still Point; Concerto in F; Love Songs; Cry; Treading; Rainbow 'Round My Shoulder; Memoria; Revelations; The Lark Ascending; Night Creature
"Buffalo, NY, USA","SUNY Buffalo; Artpark Theater; Summer Festival of Performing Arts, University of Buffalo; Shea's Performing Arts Center; Canisius High School Theater Auditorium; Shea's Buffalo; Kleinhans Music Hall; Woodlawn Junior High School; Niagara Community College",The River; The Road of the Phoebe Snow; Fontessa and Friends; Spectrum; Concerto in F; Gazelle; Liberian Suite; Flowers; Clear Songs After Rain; Memoria; Bad Blood; Three Black Kings; The Stack-Up; Pas de Duke; Divining; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Streams; Myth; Witness; The Mooche; Echoes in Blue; Tilt; Phases; Variegations; Fire Sermon; Mingus; Gillespiana; Butterfly; The Lark Ascending; Revelations; Night Creature; The Beloved
"Burlington, VT, USA","Flynn Theatre; Memorial Auditorium, University of Vermont",Caverna Magica; Divining; Missa Brevis; Love Songs; Treading; Blues Suite; The Wedding; Speeds; Bad Blood; Vespers; The Stack-Up
"Caesarea, Israel",The Roman Theatre; Roman Theater; Roman Amphitheater,Satyriade; Fontessa and Friends; Concerto in F; Landscape; Memoria; The Prodigal Prince; Bad Blood; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Pigs and Fishes; Streams; Caverna Magica; Toccata; Revelations; Night Creature
"Caltanissetta, Italy",Grad S. Francesco,Treading; Revelations; Night Creature; Suite Otis
"Cambridge, MA, USA",Ridge Tech Auditorium; Loeb Drama Center,The Black Belt; Toccata; Journey; Lament; Congo Tango Palace; Knoxville: Summer of 1915; Blues Suite; Reflections in D; Hermit Songs; Revelations; Quintet; Metallics; The Road of the Phoebe Snow; Icarus
"Cannes, France",Grand Auditorium; Palais de Festival; Theatre du Fort,The River; Sunrise... Sunset; Spectrum; Concerto in F; Landscape; Memoria; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Blues Suite; Pigs and Fishes; Streams; For 'Bird' - With Love; Phases; Butterfly; Revelations; Gazelle; Night Creature; Sonnets
"Carcassonne, France",Grand Theatre de la Cite,Treading; Seven Journeys; Streams; Revelations
"Carpentras, France",Theatre de Plein Air,Cry; The Stack-Up; Streams; Revelations
"Carthage, Tunisia",Theatre Romain de Carthage,Toccata; Journey; Blues Suite; The Prodigal Prince; Streams; Revelations; Icarus
"Casablanca, Morocco",Municipal Theater,Toccata; Dance for Six; Journey; Revelations; Icarus
"Catania, Italy",Theatro Metropolitan,Caverna Magica; Concerto in F; Revelations
"Cebu City, Philippines",Azner Memorial Coliseum,Cinco Latinos; Been Here and Gone; Mountainway Chant; Revelations; The Beloved
"Cedar Falls, IA, USA",University of Northern Iowa,Toccata; Dance for Six; Flowers; Child of the Earth; Streams; Revelations; Icarus
"Chapel Hill, NC, USA","Memorial Hall, University of North Carolina at Chapel Hill",Toccata; Masekela Langage; Hermit Songs; Revelations; Icarus
"Charleston, SC, USA",Gaillard Municipal Auditorium,Tilt; Myth; Suite Otis; Cry; Fire Sermon; Mingus; Butterfly; Streams; District Storyville; Gazelle; Revelations; Night Creature
"Charlotte, NC, USA","Ovens Auditorium, University of North Carolina at Charlotte; Coliseum; Ovens Auditorium; Central Piedmont Community College",Feast of Ashes; Myth; Cry; Blues Suite; Rainbow 'Round My Shoulder; Streams; Revelations; The Lark Ascending; The Road of the Phoebe Snow; Icarus
"Charlottesville, VA, USA","University Hall, University of Virginia",Quintet; Blues Suite; Revelations
"Chatham, NY, USA",Chatham Central High School,Toccata; Lament; Blues Suite; Revelations; The Beloved
"Chicago, IL, USA","Northeastern Illinois University; Civic Center for the Performing Arts; Auditorium Theater; Arie Crown Theater; Civic Opera House; Harper Theater; Chicago State Teachers College; Auditorium Theatre, Roosevelt University","Blueshift; Missa Brevis; The Still Point; Places; Spectrum; Concerto in F; Countdown; Fanga; Landscape; Time Out of Mind; The Prodigal Prince; Choral Dances; Cry; Night Shade; The Magic of Katherine Dunham; Myth; Icarus; Echoes in Blue; Toccata; Tilt; Feast of Ashes; The Wedding; Masekela Langage; Blood Burning Moon; Gazelle; Night Creature; The River; Congo Tango Palace; The Road of the Phoebe Snow; Flowers; Vespers; The Stack-Up; Precipice; Mary Lou's Mass; Survivors; Journey; Love Songs; Suite Otis; Later That Day; Rainbow 'Round My Shoulder; Butterfly; Revelations; Sonnets; After Eden; Hidden Rites; Fever Swamp; Hobo Sapiens; Coverage II; Bad Blood; The Black Belt; Divining; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Crossword; Streams; Witness; My Mother, My Father; The Blues Ain't; Caverna Magica; Nocturne; Dance for Six; For 'Bird' - With Love; Speeds; Collage; Fire Sermon; The Lark Ascending; Caravan; Light; Lullaby for a Jazz Baby; Fontessa and Friends; Isba; From the Mountains of Taubalu; Facets; Liberian Suite; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Choros; Blood Memories; Shards; Carmina Burana; Phases; Les Noces"
"China Lake, CA, USA",Center Theatre,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Christiansted, St. Croix, U.S. Virgin Islands",St. Croix Island Center,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Châteauvallon, France",Theatre Nationale de la Danse et de l'Image,Memoria; Suite Otis; Rainbow 'Round My Shoulder; Revelations
"Cincinnati, OH, USA",Music Hall Auditorium; Cincinnati Music Hall,Dance for Six; Liberian Suite; Cry; Blues Suite; Revelations; Night Creature
"Claremont, CA, USA","Bridges Auditorium, Pomona College",
"Clearwater, FL, USA",Eckerd Hall; Ruth Eckerd Hall,The Still Point; Inside; Fontessa and Friends; Isba; Concerto in F; Fever Swamp; Memoria; Bad Blood; Vespers; The Stack-Up; Divining; Research; Survivors; Portrait of Billie; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Journey; Blues Suite; Witness; Caverna Magica; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature
"Clermont-Ferrand, France",Palais des Congres,Cry; The Stack-Up; Blues Suite; Revelations
"Cleveland, OH, USA","State Theater; Ohio Theater; Music Hall; Music Hall - Public Auditorium; State Theatre, Playhouse Square",Isba; Flowers; Archipelago; Memoria; Bad Blood; Quintet; The Stack-Up; Divining; Portrait of Billie; Survivors; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Night Shade; Reflections in D; Streams; Witness; Icarus; Caverna Magica; Toccata; For 'Bird' - With Love; Dance for Six; Speeds; Revelations; The Lark Ascending; Night Creature; The Beloved
"Cobleskill, NY, USA","Bouck Hall Theater, State University of New York Cobleskill",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"College Park, MD, USA","Tawes Fine Arts Theater, University of Maryland",Toccata; Quintet; The Road of the Phoebe Snow; Revelations; Icarus
"Cologne, Germany",Schauspiel Köln; Opernhaus,Divining; Carmina Burana; Love Songs; Treading; Rainbow 'Round My Shoulder; Bad Blood; Streams; The Magic of Katherine Dunham; Revelations; The Lark Ascending
"Columbia, MD, USA",Merriweather Post Pavilion,Facets; Love Songs; The Time Before the Time After (After the Time Before); Cry; Suite Otis; Flowers; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Passage; Mingus; Butterfly; Fire Sermon; Streams; Gazelle; Revelations; Night Creature
"Columbia, MO, USA","University of Missouri; Stephens College; Jesse Auditorium, University of Missouri",The Black Belt; Divining; Places; Isba; Concerto in F; Love Songs; Suite Otis; Treading; Cry; Flowers; Blues Suite; Rainbow 'Round My Shoulder; Memoria; Butterfly; Revelations; Night Creature; Fontessa and Friends
"Columbia, SC, USA",Carolina Coliseum; Township Auditorium,Research; Gazelle; Songs Without Words; Treading; Suite Otis; The River; Love Songs; Blues Suite; The Time Before the Time After (After the Time Before); The Lark Ascending; Hobo Sapiens; Streams; Revelations; The Stack-Up; The Road of the Phoebe Snow; Night Creature
"Columbus, OH, USA","Ohio Theatre; Ohio Theater; Mershon Auditorium, The Ohio State University; The Palace Theater",The Still Point; Places; Isba; Concerto in F; Fever Swamp; Memoria; Bad Blood; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Night Shade; Pigs and Fishes; Caverna Magica; For 'Bird' - With Love; Speeds; Revelations; Night Creature
"Copenhagen, Denmark",Falkoner Centret; Cirkusbygningen; Tivolis Koncertsal; Tivoli Theater; Tivoli Cirkusbyningen,The Still Point; The River; Sarong Paramaribo; Congo Tango Palace; After Eden; The Lark Ascending; Satyriade; Inside; The Road of the Phoebe Snow; Fontessa and Friends; Isba; How to Walk an Elephant; Concerto in F; Spectrum; Chelsea's Bells; Fever Swamp; Landscape; Bad Blood; Vespers; The Stack-Up; Divining; Research; Survivors; Portrait of Billie; Love Songs; Suite Otis; Treading; Cry; Come and Get the Beauty of It Hot; Night Shade; Blues Suite; Reflections in D; Later That Day; Pigs and Fishes; Streams; The Magic of Katherine Dunham; Anjour: Ruminations on Dudley; For 'Bird' - With Love; Shards; Phases; Rainbow 'Round My Shoulder; Speeds; Butterfly; Revelations; Sonnets; Night Creature
"Cortland, NY, USA",Cortland College,
"Cotabato City, Philippines",Notre Dame Gymnasium,
"Culver, IN, USA","Culver Military Academy; Eugene C. Eppley Auditorium, Culver Military Academy",Cinco Latinos; Toccata; Been Here and Gone; Gillespiana; Roots of the Blues; Congo Tango Palace; Blues Suite; Reflections in D; Revelations; The Beloved
"Cupertino, CA, USA","Flint Center, De Anza College",Dance for Six; Cry; Flowers; Streams; Revelations; Choral Dances
"Curitiba, Brazil",Teatro Guaira,Pas de Duke; Facets; Love Songs; Suite Otis; Cry; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Revelations; Gazelle; Night Creature
"Dakar, Senegal",Daniel Sorano Theater; Stade de l'Amité,The Prodigal Prince; Blues Suite; Revelations
"Dallas, TX, USA","Music Hall at Fair Park; McFarlin Auditorium, Southern Methodist University",Divining; Cry; The Stack-Up; Blues Suite; Rainbow 'Round My Shoulder; Reflections in D; Blood Memories; Hobo Sapiens; Revelations; Gazelle; Caravan; Night Creature
"Dar es Salaam, Tanzania",Msimbazi Community Centre,The Prodigal Prince; Blues Suite; Revelations
"Davie, FL, USA","Bailey Concert Hall, Broward Community College",Divining; Isba; How to Walk an Elephant; Concerto in F; Suite Otis; Treading; Cry; Blues Suite; Rainbow 'Round My Shoulder; Fever Swamp; Speeds; Memoria; Pigs and Fishes; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Davis, CA, USA","Freeborn Hall, University of California Davis",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"DeKalb, IL, USA","University Center Ballroom, Northern Illinois University",Toccata; Congo Tango Palace; Reflections in D; Revelations; Threnody
"Deer Park, NY, USA",Deer Park High School,Toccata; Blues Suite; Reflections in D; Revelations; Metallics
"Delaware, OH, USA","Gray Chapel, Ohio Wesleyan University",Threnody; Blues Suite; Revelations
"Den Haag, Netherlands",Koninklijke Schouwburg; Netherlands Congress Hall,The Black Belt; Toccata; Credo; Journey; Cry; The Stack-Up; Lament; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; Metallics; The Road of the Phoebe Snow; Night Creature; Icarus
"Denver, CO, USA",Performance East High School; Auditorium Theatre,Facets; Love Songs; The Mooche; Later That Day; Memoria; Inside; Butterfly; Revelations; Les Noces; District Storyville; Night Creature
