Place,Venues,Repertory
"Burlington, VT, USA","Memorial Auditorium, University of Vermont; Flynn Theatre",Blues Suite; Treading; Missa Brevis; The Stack-Up; Vespers; The Wedding; Bad Blood; Speeds; Divining; Caverna Magica; Love Songs
"Caesarea, Israel",Roman Amphitheater; The Roman Theatre; Roman Theater,Memoria; Suite Otis; Cry; Fontessa and Friends; Caverna Magica; Pigs and Fishes; Toccata; Bad Blood; The Prodigal Prince; Revelations; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Satyriade; Concerto in F; Treading; Reflections in D; Divining; Landscape
"Caltanissetta, Italy",Grad S. Francesco,Treading; Revelations; Suite Otis; Night Creature
"Cambridge, MA, USA",Ridge Tech Auditorium; Loeb Drama Center,Blues Suite; The Black Belt; Hermit Songs; Toccata; Metallics; Icarus; Congo Tango Palace; Reflections in D; Knoxville: Summer of 1915; Revelations; Quintet; The Road of the Phoebe Snow; Journey; Lament
"Cannes, France",Grand Auditorium; Palais de Festival; Theatre du Fort,The Time Before the Time After (After the Time Before); Memoria; Phases; Cry; Pigs and Fishes; Gazelle; The River; Revelations; Butterfly; Streams; Night Creature; Love Songs; Blues Suite; For 'Bird' - With Love; Sunrise... Sunset; Sonnets; Spectrum; Concerto in F; Treading; Landscape
"Carcassonne, France",Grand Theatre de la Cite,Treading; Revelations; Streams; Seven Journeys
"Carpentras, France",Theatre de Plein Air,Revelations; Cry; Streams; The Stack-Up
"Carthage, Tunisia",Theatre Romain de Carthage,Blues Suite; Toccata; Icarus; The Prodigal Prince; Revelations; Streams; Journey
"Casablanca, Morocco",Municipal Theater,Toccata; Dance for Six; Icarus; Revelations; Journey
"Catania, Italy",Theatro Metropolitan,Caverna Magica; Concerto in F; Revelations
"Cebu City, Philippines",Azner Memorial Coliseum,The Beloved; Been Here and Gone; Cinco Latinos; Mountainway Chant; Revelations
"Cedar Falls, IA, USA",University of Northern Iowa,Toccata; Flowers; Child of the Earth; Dance for Six; Icarus; Revelations; Streams
"Chapel Hill, NC, USA","Memorial Hall, University of North Carolina at Chapel Hill",Hermit Songs; Toccata; Icarus; Masekela Langage; Revelations
"Charleston, SC, USA",Gaillard Municipal Auditorium,District Storyville; Gazelle; Tilt; Revelations; Suite Otis; Mingus; Butterfly; Streams; Fire Sermon; Cry; Myth; Night Creature
"Charlotte, NC, USA","Coliseum; Ovens Auditorium; Ovens Auditorium, University of North Carolina at Charlotte; Central Piedmont Community College",Blues Suite; Feast of Ashes; Rainbow 'Round My Shoulder; Icarus; Revelations; Myth; Streams; Cry; The Road of the Phoebe Snow; The Lark Ascending
"Charlottesville, VA, USA","University Hall, University of Virginia",Blues Suite; Revelations; Quintet
"Chatham, NY, USA",Chatham Central High School,Blues Suite; Toccata; The Beloved; Revelations; Lament
"Chicago, IL, USA","Harper Theater; Civic Center for the Performing Arts; Civic Opera House; Arie Crown Theater; Auditorium Theater, Chicago State Teachers College; Auditorium Theatre, Roosevelt University; Northeastern Illinois University","Missa Brevis; Blood Burning Moon; Icarus; The Wedding; The Blues Ain't; Hidden Rites; Tilt; Streams; Night Creature; The Stack-Up; Places; Precipice; The Road of the Phoebe Snow; Feast of Ashes; Collage; Choral Dances; My Mother, My Father; Liberian Suite; Caravan; The Still Point; The Black Belt; Memoria; Fanga; Caverna Magica; How Long Have It Been; Gazelle; The River; Speeds; Blood Memories; Blues Suite; Time Out of Mind; Night Shade; Concerto in F; Echoes in Blue; Hobo Sapiens; Isba; Journey; Reflections in D; Divining; Landscape; The Time Before the Time After (After the Time Before); Suite Otis; Songs Without Words; Blueshift; Pigs and Fishes; Light; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Mary Lou's Mass; Coverage II; Crossword; From the Mountains of Taubalu; Congo Tango Palace; Fire Sermon; Nocturne; Countdown; Vespers; Witness; Fever Swamp; Les Noces; Portrait of Billie; Phases; Cry; Fontessa and Friends; Flowers; The Magic of Katherine Dunham; Bad Blood; After Eden; Revelations; Later That Day; Choros; The Lark Ascending; Myth; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Sonnets; Spectrum; Treading; Lullaby for a Jazz Baby; Facets"
"China Lake, CA, USA",Center Theatre,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Christiansted, St. Croix, U.S. Virgin Islands",St. Croix Island Center,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Châteauvallon, France",Theatre Nationale de la Danse et de l'Image,Rainbow 'Round My Shoulder; Memoria; Revelations; Suite Otis
"Cincinnati, OH, USA",Cincinnati Music Hall; Music Hall Auditorium,Blues Suite; Liberian Suite; Dance for Six; Revelations; Cry; Night Creature
"Claremont, CA, USA","Bridges Auditorium, Pomona College",
"Clearwater, FL, USA",Ruth Eckerd Hall; Eckerd Hall,The Still Point; Inside; Memoria; Portrait of Billie; Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Caverna Magica; Rainbow 'Round My Shoulder; Bad Blood; Research; Revelations; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; The Stack-Up; Concerto in F; Isba; Journey; Treading; Vespers; Witness; Divining; Fever Swamp
"Clermont-Ferrand, France",Palais des Congres,Blues Suite; Revelations; Cry; The Stack-Up
"Cleveland, OH, USA","State Theater; Music Hall - Public Auditorium; Ohio Theater; Music Hall; State Theatre, Playhouse Square",Memoria; Portrait of Billie; Suite Otis; Cry; Caverna Magica; Toccata; Flowers; Icarus; Dance for Six; Bad Blood; Revelations; Speeds; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; For 'Bird' - With Love; The Stack-Up; Night Shade; Archipelago; Isba; Treading; The Beloved; Reflections in D; Witness; Quintet; Divining
"Cobleskill, NY, USA","Bouck Hall Theater, SUNY Cobleskill",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"College Park, MD, USA","Tawes Fine Arts Theater, University of Maryland",Toccata; Icarus; Revelations; Quintet; The Road of the Phoebe Snow
"Cologne, Germany",Schauspiel Köln; Opernhaus,Treading; The Magic of Katherine Dunham; Rainbow 'Round My Shoulder; Carmina Burana; Bad Blood; Revelations; Streams; Divining; The Lark Ascending; Love Songs
"Columbia, MD, USA",Merriweather Post Pavillion; Merriweather Post Pavilion,The Time Before the Time After (After the Time Before); Blues Suite; Flowers; Facets; Passage; Rainbow 'Round My Shoulder; Gazelle; Revelations; Suite Otis; Mingus; Butterfly; Streams; Fire Sermon; Cry; The Lark Ascending; Night Creature; Love Songs
"Columbia, MO, USA","Stephens College; Jesse Auditorium, University of Missouri; University of Missouri",Fontessa and Friends; Blues Suite; The Black Belt; Treading; Flowers; Rainbow 'Round My Shoulder; Places; Memoria; Concerto in F; Suite Otis; Revelations; Butterfly; Divining; Isba; Cry; Night Creature; Love Songs
"Columbia, SC, USA",Township Auditorium; Carolina Colliseum,The Time Before the Time After (After the Time Before); Blues Suite; Treading; The Stack-Up; Gazelle; The River; Research; Revelations; Suite Otis; Songs Without Words; Streams; Hobo Sapiens; The Road of the Phoebe Snow; The Lark Ascending; Night Creature; Love Songs
"Columbus, OH, USA","Mershon Auditorium, The Ohio State University; Ohio Theatre; Ohio Theater; The Palace Theater",The Still Point; Memoria; Suite Otis; Cry; Caverna Magica; Pigs and Fishes; Bad Blood; Revelations; Speeds; Night Creature; Love Songs; Blues Suite; The Stack-Up; For 'Bird' - With Love; Places; Night Shade; Concerto in F; Isba; Treading; Divining; Fever Swamp
"Copenhagen, Denmark",Tivolis Koncertsal; Cirkusbygningen; Tivoli Theater; Tivoli Cirkusbyningen; Falkoner Centret,The Still Point; Inside; Portrait of Billie; Phases; Suite Otis; Cry; Fontessa and Friends; Pigs and Fishes; Shards; The Magic of Katherine Dunham; Rainbow 'Round My Shoulder; Bad Blood; The River; How to Walk an Elephant; After Eden; Research; Sarong Paramaribo; Speeds; Later That Day; Revelations; Streams; Anjour: Ruminations on Dudley; Butterfly; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Come and Get the Beauty of It Hot; Survivors; For 'Bird' - With Love; Congo Tango Palace; Night Shade; The Stack-Up; Satyriade; Sonnets; Chelsea's Bells; Spectrum; Concerto in F; The Road of the Phoebe Snow; Isba; Treading; Reflections in D; Vespers; Divining; Fever Swamp; Landscape
"Cortland, NY, USA",Cortland College,
"Cotabato City, Philippines",Notre Dame Gymnasium,
"Culver, IN, USA","Eugene C. Eppley Auditorium, Culver Military Academy; Culver Military Academy",Blues Suite; Toccata; The Beloved; Been Here and Gone; Congo Tango Palace; Reflections in D; Cinco Latinos; Revelations; Gillespiana; Roots of the Blues
"Cupertino, CA, USA","Flint Center, De Anza College",Flowers; Choral Dances; Dance for Six; Revelations; Cry; Streams
"Curitiba, Brazil",Teatro Guaira,Love Songs; Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; Revelations; Suite Otis; Cry; The Lark Ascending; Night Creature; Pas de Duke
"Dakar, Senegal",Stade de l'Amité; Daniel Sorano Theater,Blues Suite; Revelations; The Prodigal Prince
"Dallas, TX, USA","Music Hall at Fair Park; McFarlin Auditorium, Southern Methodist University",Blues Suite; Night Creature; The Stack-Up; Rainbow 'Round My Shoulder; Gazelle; Reflections in D; Revelations; Cry; Hobo Sapiens; Blood Memories; Divining; Caravan
"Dar es Salaam, Tanzania",Msimbazi Community Centre,Blues Suite; Revelations; The Prodigal Prince
"Davie, FL, USA","Bailey Concert Hall, Broward Community College",Blues Suite; Treading; Night Creature; The Stack-Up; Rainbow 'Round My Shoulder; How to Walk an Elephant; Memoria; Concerto in F; Speeds; Suite Otis; Revelations; Fontessa and Friends; Isba; Cry; Divining; Fever Swamp; Pigs and Fishes
"Davis, CA, USA","Freeborn Hall, University of California Davis",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"DeKalb, IL, USA","University Center Ballroom, Northern Illinois University",Threnody; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Deer Park, NY, USA",Deer Park High School,Blues Suite; Toccata; Metallics; Reflections in D; Revelations
"Delaware, OH, USA","Gray Chapel, Ohio Wesleyan University",Blues Suite; Threnody; Revelations
"Den Haag, Netherlands",Netherlands Congress Hall; Koninklijke Schouwburg,Blues Suite; The Black Belt; Toccata; Metallics; The Stack-Up; Icarus; Credo; Reflections in D; Congo Tango Palace; The Prodigal Prince; Revelations; Cry; The Road of the Phoebe Snow; Journey; Night Creature; Lament
"Denver, CO, USA",Auditorium Theatre; Performance East High School,Les Noces; District Storyville; Facets; Inside; The Mooche; Memoria; Revelations; Later That Day; Butterfly; Night Creature; Love Songs
